DATE,CUMFNS
1980-02-01,82.7141
1980-03-01,81.8284
1980-04-01,79.9984
1980-05-01,77.4669
1980-06-01,76.0834
1980-07-01,75.1454
1980-08-01,75.4820
1980-09-01,76.5512
1980-10-01,77.7164
1980-11-01,78.8762
1980-12-01,79.0080
1981-01-01,78.4476
1981-02-01,77.8264
1981-03-01,77.8459
1981-04-01,78.0353
1981-05-01,78.1936
1981-06-01,77.6243
1981-07-01,77.5453
1981-08-01,77.3226
1981-09-01,76.8416
1981-10-01,75.8671
1981-11-01,74.7344
1981-12-01,73.3370
1982-01-01,71.3537
1982-02-01,73.2280
1982-03-01,72.5386
1982-04-01,71.8408
1982-05-01,71.5504
1982-06-01,71.3860
1982-07-01,71.1652
1982-08-01,70.4453
1982-09-01,70.2337
1982-10-01,69.2881
1982-11-01,68.8474
1982-12-01,68.5853
1983-01-01,70.1273
1983-02-01,70.0551
1983-03-01,70.6704
1983-04-01,71.4951
1983-05-01,72.3173
1983-06-01,72.8536
1983-07-01,73.8583
1983-08-01,74.4784
1983-09-01,75.8005
1983-10-01,76.5371
1983-11-01,76.8565
1983-12-01,76.9683
1984-01-01,78.2653
1984-02-01,79.0031
1984-03-01,79.2241
1984-04-01,79.4626
1984-05-01,79.5443
1984-06-01,79.7206
1984-07-01,79.8585
1984-08-01,79.8220
1984-09-01,79.3096
1984-10-01,79.5270
1984-11-01,79.4968
1984-12-01,79.4614
1985-01-01,79.0547
1985-02-01,78.5133
1985-03-01,78.8821
1985-04-01,78.3765
1985-05-01,78.3168
1985-06-01,78.1292
1985-07-01,77.6164
1985-08-01,77.8269
1985-09-01,77.7100
1985-10-01,77.4131
1985-11-01,77.8028
1985-12-01,77.9797
1986-01-01,78.8065
1986-02-01,78.2937
1986-03-01,77.9427
1986-04-01,78.2478
1986-05-01,78.3061
1986-06-01,77.9152
1986-07-01,78.2634
1986-08-01,78.3706
1986-09-01,78.4782
1986-10-01,78.6444
1986-11-01,78.7835
1986-12-01,79.4044
1987-01-01,78.9372
1987-02-01,79.9300
1987-03-01,79.7739
1987-04-01,80.0280
1987-05-01,80.3672
1987-06-01,80.4896
1987-07-01,80.9003
1987-08-01,81.1446
1987-09-01,81.5314
1987-10-01,82.5470
1987-11-01,82.8735
1987-12-01,83.3129
1988-01-01,83.0334
1988-02-01,83.2326
1988-03-01,83.3896
1988-04-01,84.0899
1988-05-01,83.8579
1988-06-01,83.9874
1988-07-01,83.9048
1988-08-01,84.0081
1988-09-01,84.2279
1988-10-01,84.5289
1988-11-01,84.7620
1988-12-01,85.0560
1989-01-01,85.6237
1989-02-01,84.6617
1989-03-01,84.4397
1989-04-01,84.3845
1989-05-01,83.5626
1989-06-01,83.4734
1989-07-01,82.2762
1989-08-01,82.8435
1989-09-01,82.4198
1989-10-01,82.0129
1989-11-01,81.9668
1989-12-01,81.7781
1990-01-01,81.5059
1990-02-01,82.3981
1990-03-01,82.5998
1990-04-01,82.0854
1990-05-01,82.1352
1990-06-01,82.1988
1990-07-01,81.8555
1990-08-01,82.0032
1990-09-01,81.7092
1990-10-01,81.0468
1990-11-01,79.9658
1990-12-01,79.2297
1991-01-01,78.6280
1991-02-01,77.9825
1991-03-01,77.3125
1991-04-01,77.5699
1991-05-01,78.0259
1991-06-01,78.6558
1991-07-01,78.9835
1991-08-01,78.9952
1991-09-01,79.7075
1991-10-01,79.5208
1991-11-01,79.2353
1991-12-01,78.9152
1992-01-01,78.3166
1992-02-01,78.8323
1992-03-01,79.4536
1992-04-01,79.6908
1992-05-01,79.9536
1992-06-01,80.0105
1992-07-01,80.5182
1992-08-01,79.9136
1992-09-01,79.8314
1992-10-01,80.0985
1992-11-01,80.2260
1992-12-01,80.0185
1993-01-01,80.6153
1993-02-01,80.6867
1993-03-01,80.3924
1993-04-01,80.6448
1993-05-01,80.3984
1993-06-01,80.1945
1993-07-01,80.2216
1993-08-01,79.9310
1993-09-01,80.3431
1993-10-01,80.8600
